分类: 📡卫视频道, 名称: 重庆卫视, 有效: 5, IPv4: 111, IPv6: 0, 最小延迟: 5 ms, 最高速率: 47.03 M/s, 平均速率: 0.92 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东方卫视, 有效: 5, IPv4: 103, IPv6: 0, 最小延迟: 284 ms, 最高速率: 9.60 M/s, 平均速率: 3.35 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 东南卫视, 有效: 6, IPv4: 100, IPv6: 0, 最小延迟: 10 ms, 最高速率: 17.85 M/s, 平均速率: 1.20 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 甘肃卫视, 有效: 3, IPv4: 82, IPv6: 0, 最小延迟: 10 ms, 最高速率: 9.12 M/s, 平均速率: 0.98 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 广西卫视, 有效: 6, IPv4: 92, IPv6: 0, 最小延迟: 227 ms, 最高速率: 1.62 M/s, 平均速率: 1.03 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 贵州卫视, 有效: 5, IPv4: 100, IPv6: 0, 最小延迟: 222 ms, 最高速率: 1.59 M/s, 平均速率: 0.89 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 海南卫视, 有效: 4, IPv4: 93, IPv6: 0, 最小延迟: 10 ms, 最高速率: 10.04 M/s, 平均速率: 0.66 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河北卫视, 有效: 6, IPv4: 98, IPv6: 0, 最小延迟: 6 ms, 最高速率: 21.46 M/s, 平均速率: 0.91 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 河南卫视, 有效: 5, IPv4: 111, IPv6: 0, 最小延迟: 10 ms, 最高速率: 23.53 M/s, 平均速率: 5.70 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 吉林卫视, 有效: 5, IPv4: 101, IPv6: 0, 最小延迟: 5 ms, 最高速率: 43.80 M/s, 平均速率: 1.17 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江苏卫视, 有效: 5, IPv4: 132, IPv6: 0, 最小延迟: 10 ms, 最高速率: 10.16 M/s, 平均速率: 1.89 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 江西卫视, 有效: 5, IPv4: 113, IPv6: 0, 最小延迟: 10 ms, 最高速率: 10.15 M/s, 平均速率: 2.53 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 辽宁卫视, 有效: 4, IPv4: 111, IPv6: 0, 最小延迟: 10 ms, 最高速率: 9.83 M/s, 平均速率: 0.76 M/s, 最高分辨率: 4240x806
分类: 📡卫视频道, 名称: 内蒙古卫视, 有效: 0, IPv4: 63, IPv6: 0, 最小延迟: 10 ms, 最高速率: 9.94 M/s, 平均速率: 0.00 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 宁夏卫视, 有效: 4, IPv4: 63, IPv6: 0, 最小延迟: 10 ms, 最高速率: 9.58 M/s, 平均速率: 1.24 M/s, 最高分辨率: 3840x2160
分类: 📡卫视频道, 名称: 青海卫视, 有效: 4, IPv4: 74, IPv6: 0, 最小延迟: 228 ms, 最高速率: 20.15 M/s, 平均速率: 5.60 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 山东卫视, 有效: 6, IPv4: 114, IPv6: 0, 最小延迟: 10 ms, 最高速率: 9.89 M/s, 平均速率: 0.81 M/s, 最高分辨率: 7943x5191
分类: 📡卫视频道, 名称: 山西卫视, 有效: 1, IPv4: 63, IPv6: 0, 最小延迟: 10 ms, 最高速率: 9.76 M/s, 平均速率: 0.23 M/s, 最高分辨率: 1920x1080
分类: 📡卫视频道, 名称: 陕西卫视, 有效: 3, IPv4: 65, IPv6: 0, 最小延迟: 10 ms, 最高速率: 14.99 M/s, 平均速率: 5.75 M/s, 最高分辨率: 3840x2160
